game_id,season,round,week,team_id,player_id,position,player_display_name,team,category,value,player_count,cat_sum,snaps,cat_result,cat_winner,franchise_score,snaps_sum,matchup_result,winner
2023-1-0012-0010,2023,1,3,0010,13116,QB,Patrick Mahomes,KC,rushing_yards,28,3,90,56,0,0012,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,13116,QB,Patrick Mahomes,KC,receiving_yards,0,3,85,56,0,0012,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,13116,QB,Patrick Mahomes,KC,touchdowns,3,3,3,56,0,0012,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,13116,QB,Patrick Mahomes,KC,turnover,0,3,0,56,0.5,NA,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,14073,RB,Josh Jacobs,LV,passing_yards,0,3,272,59,0,0012,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,14073,RB,Josh Jacobs,LV,rushing_yards,62,3,90,59,0,0012,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,14073,RB,Josh Jacobs,LV,receiving_yards,18,3,85,59,0,0012,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,14073,RB,Josh Jacobs,LV,touchdowns,0,3,3,59,0,0012,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,14073,RB,Josh Jacobs,LV,turnover,0,3,0,59,0.5,NA,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,13189,WR/TE,Evan Engram,JAX,passing_yards,0,3,272,52,0,0012,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,13189,WR/TE,Evan Engram,JAX,rushing_yards,0,3,90,52,0,0012,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,13189,WR/TE,Evan Engram,JAX,receiving_yards,67,3,85,52,0,0012,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,13189,WR/TE,Evan Engram,JAX,touchdowns,0,3,3,52,0,0012,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,13189,WR/TE,Evan Engram,JAX,turnover,0,3,0,52,0.5,NA,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,11387,PK,Dustin Hopkins,CLE,fg_made_distance,100,1,100,11,0,0012,4.5,2201,0,0012
